"chemical_ID","score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","Name","Formula","MonoisotopicMass","Adduct","ISgroup","mean_int_vec","MD"
"HMDB33758",0,"2_1",298.09682,149.5,"Multiple","298.09809","L-Agaritine","C12H17N3O4","267.121906047","2M+Na+K","ISgroup_2_1_10",50434909.6,0.097
"HMDB33758",0,"4_1",143.0816,420.6,"Multiple","143.0815","L-Agaritine","C12H17N3O4","267.121906047","M+H+NH4","ISgroup_4_6_9",17642606.4,0.082
"HMDB33758",0,"7_1",155.08153,438.6,"Multiple","155.0815","L-Agaritine","C12H17N3O4","267.121906047","M+ACN+2H","ISgroup_7_11_9",157041817.1,0.082
"HMDB33758",0,"7_2",143.08153,474.2,"Multiple","143.0815","L-Agaritine","C12H17N3O4","267.121906047","M+H+NH4","ISgroup_7_11_9",146255354.8,0.082
"HMDB33758",0,"7_1",143.08163,453.4,"Multiple","143.0815","L-Agaritine","C12H17N3O4","267.121906047","M+H+NH4","ISgroup_7_11_9",15323366,0.082
"HMDB33759",0,"13_1",136.05071,359.6,"Multiple","136.05188","Dihydroformononetin","C16H14O4","270.089208936","M+2H","ISgroup_13_2_6",4029238.6,0.051
"HMDB33759",0,"7_1",136.05083,493.5,"Multiple","136.05188","Dihydroformononetin","C16H14O4","270.089208936","M+2H","ISgroup_7_11_6",55716836.9,0.051
"HMDB33760",0,"4_1",328.0856,403.3,"Multiple","328.08563","Santal","C16H12O6","300.063388116","2M+3H2O+2H","ISgroup_4_5_9",1371236.7,0.086
"HMDB33761",0,"5_1",211.05646,651.4,"Multiple","211.05483","4-Methoxybenzyl acetate","C10H12O3","180.07864425","2M+Na+K","ISgroup_5_33_6",1798856.3,0.056
"HMDB33761",0,"11_1",282.11848,604.1,"Multiple","282.11621","4-Methoxybenzyl acetate","C10H12O3","180.07864425","3M+H+Na","ISgroup_11_40_12",2099985.3,0.118
"HMDB33761",0,"2_1",244.0929,391.3,"Multiple","244.09441","4-Methoxybenzyl acetate","C10H12O3","180.07864425","M+ACN+Na","ISgroup_2_17_10",12122232.4,0.093
"HMDB33763",9,"7_1",180.10197,414.1,"Multiple","180.1019","Ethyl N-methylanthranilate","C10H13NO2","179.094628665","M+H","ISgroup_7_11_11",24921033.5,0.102
"HMDB33764",0,"2_1",244.0929,391.3,"Multiple","244.09367","Erucin","C6H11NS2","161.033290737","M+2ACN+H","ISgroup_2_17_10",12122232.4,0.093
"HMDB33766",9,"17_1",137.05894,230.9,"Multiple","137.05971","2-Methoxybenzaldehyde","C8H8O2","136.0524295","M+H","ISgroup_17_1_6",11570038.5,0.059
"HMDB33769",0,"5_1",236.14928,519.2,"Multiple","236.1472","Rockogenin","C27H44O4","432.323959896","M+H+K","ISgroup_5_25_15",40399519.1,0.149
"HMDB33769",0,"7_1",236.14934,409.7,"Multiple","236.1472","Rockogenin","C27H44O4","432.323959896","M+H+K","ISgroup_7_11_15",34120559.7,0.149
"HMDB33769",0,"6_1",239.14899,119.7,"Multiple","239.1512","Rockogenin","C27H44O4","432.323959896","M+2Na","ISgroup_6_1_15",5930265.4,0.149
